Abscissa	Profile 1
x	y
[]	[]
104.01923	108.51353
105.01941	115.07565
106.0196	122.81603
107.01978	130.06893
108.01997	137.49939
109.02015	145.42573
110.02034	154.4265
111.02052	163.11119
112.02071	171.33404
113.02089	180.60412
114.02108	189.25287
115.02126	199.08152
116.02145	209.35544
117.02163	219.45593
118.02182	229.98705
119.022	240.70968
120.02219	251.5953
121.02237	262.89803
122.02256	274.56484
123.02274	286.39322
124.02293	298.61321
125.02311	311.40073
126.0233	324.48579
127.02348	336.53414
128.02367	350.43627
129.02385	364.11816
130.02404	377.98901
131.02422	390.48013
132.02441	403.95158
133.02459	418.37696
134.02478	431.68171
135.02496	444.69147
136.02515	458.46804
137.02533	471.78009
138.02552	485.173
139.0257	499.87623
140.02589	512.54331
141.02607	523.58978
142.02625	536.19686
143.02644	550.78791
144.02662	562.8229
145.02681	574.23716
146.02699	585.5515
147.02718	597.26955
148.02736	609.16627
149.02755	620.763
150.02773	630.2918
151.02792	641.17729
152.0281	650.8455
153.02829	659.43914
154.02847	668.83549
155.02866	679.00754
156.02884	686.32655
157.02903	694.05624
158.02921	702.00672
159.0294	709.47082
160.02958	716.03096
161.02977	723.78647
162.02995	729.82119
163.03014	735.51449
164.03032	741.55141
165.03051	748.13237
166.03069	753.93962
167.03088	757.61543
168.03106	763.11189
169.03125	768.17406
170.03143	773.26552
171.03162	777.9082
172.0318	784.41903
173.03199	787.66089
174.03217	789.69782
175.03236	793.8907
176.03254	798.85079
177.03273	800.02766
178.03291	802.46962
179.0331	804.13438
180.03328	805.31481
181.03347	807.40486
182.03365	810.17737
183.03384	809.46484
184.03402	811.6207
185.03421	811.74009
186.03439	811.60116
187.03458	811.68491
188.03476	810.55773
189.03494	809.58441
190.03513	807.39037
191.03531	805.98859
192.0355	803.57827
193.03568	800.51786
194.03587	796.91429
195.03605	792.70129
196.03624	787.46225
197.03642	784.56716
198.03661	780.92826
199.03679	775.50276
200.03698	771.32544
201.03716	764.2005
202.03735	760.82784
203.03753	757.5423
204.03772	750.22135
205.0379	745.11535
206.03809	740.96921
207.03827	737.24971
208.03846	732.4835
209.03864	729.20342
210.03883	725.55288
