Abscissa	Profile 1
x	y
[]	[]
150	452.14475
151	469.36051
152	485.20534
153	498.27376
154	513.08298
155	525.36339
156	535.99386
157	547.84044
158	555.12686
159	560.02292
160	567.19085
161	573.84333
162	577.06379
163	578.43239
164	579.67585
165	578.4551
166	577.25039
167	576.25115
168	573.1138
169	568.26933
170	562.89999
171	557.26753
172	551.627
173	544.67812
174	536.92488
175	530.30444
176	523.42595
177	515.70257
178	505.17467
179	495.77499
180	489.59578
181	481.79103
182	473.07458
183	465.91738
184	457.50773
185	450.33012
186	443.86992
187	436.96582
188	431.11766
189	424.52885
190	419.51926
191	415.60486
192	411.88015
193	408.19368
194	404.33616
195	403.18345
196	402.23132
197	401.93595
198	402.8177
199	403.53349
200	404.93516
201	406.87215
202	409.0425
203	412.23405
204	416.19979
205	420.92604
206	425.65174
207	430.18989
208	437.32044
209	443.50452
210	448.86738
211	455.96577
212	462.30049
213	468.68772
214	476.00711
215	482.95397
216	490.10561
217	497.25325
218	504.11775
219	510.74036
220	516.19891
221	521.67356
222	527.32983
223	533.77615
224	539.96164
225	543.77603
226	547.32035
227	550.38234
228	552.60289
229	555.28599
230	557.98161
231	560.03137
232	561.18879
233	561.23918
234	560.48732
235	558.1128
236	555.64046
237	554.17238
238	553.06071
239	550.71181
240	547.60923
241	543.20959
242	538.27583
243	535.04658
244	530.62344
245	526.14409
246	522.72999
247	517.53625
248	511.94937
249	508.26312
250	504.38807
251	499.41641
252	496.64022
253	493.48367
254	488.03657
255	483.78539
256	482.1059
257	481.25886
258	478.05344
259	474.91336
260	473.31549
261	471.08643
262	470.60682
263	470.19238
264	468.71838
265	469.22605
266	469.9572
267	470.28716
268	471.5724
269	473.26631
270	475.25337
271	479.14007
272	480.56477
273	482.20588
274	486.66977
275	489.84992
276	493.48176
277	497.20871
278	500.49225
279	504.20533
280	508.42403
281	512.70433
282	517.48535
283	521.3743
284	523.71195
285	527.46571
286	532.24912
287	536.14239
288	539.69945
289	542.68629
290	544.46252
291	546.12136
292	547.48045
293	550.11749
294	551.70576
295	552.63165
296	552.41079
297	550.12488
298	549.81198
299	549.54403
300	547.47823
301	544.20777
302	542.36007
