Abscissa	Profile 1
x	y
[]	[]
150	546.13838
151	561.04896
152	568.43208
153	561.65867
154	541.20117
155	516.52844
156	487.83986
157	450.5312
158	417.29049
159	394.60075
160	380.02789
161	374.25261
162	382.36507
163	404.1858
164	431.23673
165	460.46861
166	488.15919
167	509.3053
168	520.85126
169	520.60827
170	510.80602
171	490.57728
172	461.40498
173	430.93124
174	405.69447
175	389.74969
176	388.55328
177	400.35901
178	425.02732
179	456.54957
180	485.95085
181	512.33644
182	526.30432
183	525.03387
184	514.41744
185	495.29799
186	470.45164
187	445.39293
188	428.98816
189	427.23489
190	440.70495
191	468.02575
192	501.31376
193	531.28315
194	555.0793
195	563.04437
196	553.47821
197	532.84999
198	506.13554
199	479.48652
200	460.86857
201	459.13705
202	473.46833
203	503.90096
204	540.75096
205	568.55705
206	576.3185
207	571.93166
208	547.43121
209	509.31779
210	477.92246
211	460.85251
212	459.91823
213	471.78919
214	499.94932
215	528.75041
216	542.45938
217	541.28698
218	522.6919
219	486.69325
220	452.66368
221	434.59042
222	432.41653
223	444.41819
224	469.67788
225	490.67894
226	496.327
227	488.01449
228	466.40557
229	437.78074
230	416.414
231	409.90079
232	418.31153
233	436.91285
234	464.25963
235	481.1196
236	477.83742
237	464.86698
238	441.26436
239	413.41062
240	396.33683
241	400.8026
242	419.73937
243	444.53668
244	467.5615
245	473.72401
246	461.0379
247	441.33519
248	422.91703
249	412.80748
250	421.19169
251	442.79982
252	462.75237
253	470.30298
254	463.84955
255	443.76602
256	419.89418
257	407.58637
258	409.46638
259	421.1386
260	442.17526
261	456.14332
262	453.48303
263	437.99553
264	414.01454
265	395.06461
266	388.68263
267	398.6917
268	415.63356
269	426.09435
270	424.33929
271	405.67124
272	378.0226
273	360.11079
274	366.12704
275	380.99465
276	405.92953
277	424.42366
278	411.86694
279	382.63117
280	365.79014
281	364.09173
282	374.27669
283	394.83544
284	410.82926
285	407.0937
286	393.77686
287	380.15725
288	371.33211
289	381.91262
290	409.66741
291	430.98999
292	434.37495
293	433.40492
294	426.84346
295	418.66141
296	425.62128
297	441.41255
298	455.05725
299	465.27003
300	465.12613
301	448.69969
302	439.96264
