Abscissa	Profile 1
x	y
[]	[]
102.97989	22.752523
103.97969	23.212259
104.9795	22.415234
105.9793	22.501583
106.97911	22.506356
107.97891	22.489074
108.97872	22.11475
109.97852	21.443488
110.97832	21.45167
111.97813	21.516111
112.97793	21.280281
113.97774	20.387571
114.97754	20.078716
115.97735	19.367593
116.97715	19.315968
117.97696	19.102758
118.97676	17.9727
119.97657	17.21824
120.97637	17.0388
121.97618	15.929693
122.97598	15.195081
123.97579	15.051941
124.97559	13.904006
125.9754	13.095206
126.9752	13.052566
127.975	12.834382
128.97481	11.758423
129.97461	11.113074
130.97442	10.832601
131.97422	10.057423
132.97403	9.9866198
133.97383	10.031125
134.97364	9.699655
135.97344	9.0969699
136.97325	9.0018861
137.97305	9.0347807
138.97286	8.9960147
139.97266	9.0116258
140.97247	9.0348033
141.97227	8.9976789
142.97208	8.9593004
143.97188	9.203888
144.97169	10.340577
145.97149	11.08025
146.97129	11.234404
147.9711	12.297014
148.9709	13.356799
149.97071	14.091437
150.97051	14.670666
151.97032	16.594823
152.97012	17.550573
153.96993	18.523377
154.96973	19.764623
155.96954	21.642436
156.96934	22.858127
157.96915	24.719006
158.96895	26.001168
159.96876	27.713042
160.96856	28.977735
161.96837	30.949194
162.96817	32.791705
163.96798	34.160342
164.96778	36.01226
165.96758	36.935345
166.96739	37.882418
167.96719	38.937147
168.967	40.299808
169.9668	41.938283
170.96661	43.253536
171.96641	44.853535
172.96622	44.997372
173.96602	46.176725
174.96583	46.801721
175.96563	47.145876
176.96544	47.999853
177.96524	47.93688
178.96505	47.95182
179.96485	48.329229
180.96466	49.019453
181.96446	48.585103
182.96426	48.21473
183.96407	48.654529
184.96387	46.656688
185.96368	45.677812
186.96348	44.793364
187.96329	43.628498
188.96309	42.634625
189.9629	41.26939
190.9627	39.468351
191.96251	38.469614
192.96231	37.082376
193.96212	34.356909
194.96192	32.457199
195.96173	31.332112
196.96153	29.181027
197.96134	27.197299
198.96114	25.917051
199.96095	23.862102
200.96075	21.781718
201.96055	20.038233
202.96036	18.790485
203.96016	16.792828
204.95997	15.657469
205.95977	13.86919
206.95958	12.770182
207.95938	11.735634
